route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
187,13:47:00,0.2,1000,700,7,37,12,32,33,4,5,2284,11711.008999999998,,0.000244140625,,-7711.008999999998
185,15:27:00,1,1000,700,18,26,17,19,23,3,-1,2021,7930.444000000001,,0.00011181831359863281,,-4930.444000000001
155,13:50:00,1,1000,700,15,32,16,16,21,11,1,1500,6181.702000000001,,0.00015687942504882812,,4818.297999999999
199,13:24:30,0,1000,700,2,29,12,14,22,7,10,0.0,13410.602,,0.00023984909057617188,,-6410.602000000001
198,10:24:30,0,1000,700,2,17,4,15,15,2,2,0,3210.6339999999996,,9.012222290039062e-05,,-1210.6339999999996
193,13:30:30,0.4,1000,700,7,46,11,26,38,8,4,1494,6485.970000000001,,0.0003218650817871094,,1514.0299999999988
195,13:21:00,1,1000,700,23,41,26,24,30,11,3,2302,9334.202999999998,,0.0004119873046875,,1665.7970000000023
199,13:24:30,0.4,1000,700,9,32,17,16,25,7,8,2873,12430.279999999999,,0.0002970695495605469,,-5430.279999999999
191,07:22:00,1,1000,700,14,34,14,18,26,8,0,1255,5095.854734896091,,0.00015807151794433594,,2904.145265103909
55,15:58:00,0,1000,700,2,71,8,49,67,4,6,0,16373.940999999997,,0.0006361007690429688,,-12373.940999999997
198,10:24:30,1,1000,700,8,18,7,11,13,5,-1,677,2855.712,,5.602836608886719e-05,,2144.288
199,13:24:30,1,1000,700,20,32,22,15,22,10,2,2873,11390.419999999998,,0.0001926422119140625,,-1390.4199999999983
194,07:10:00,0.2,1000,700,5,51,15,21,39,12,10,2079,9890.82,,0.00044918060302734375,,2109.1800000000003
191,07:22:00,0,1000,700,2,31,6,20,26,5,4,0,5608.0447348960915,,0.00017189979553222656,,-608.0447348960915
195,13:21:00,0.2,1000,700,5,41,17,25,31,10,12,2132.0296170365036,10209.107,,0.0006098747253417969,,-209.10699999999997
198,10:24:30,0.2,1000,700,3,18,4,13,14,4,1,290,2855.712,,8.177757263183594e-05,,1144.288
195,13:21:00,0,1000,700,2,40,11,33,34,6,9,0,10814.443999999998,,0.00041604042053222656,,-4814.443999999998
193,08:16:30,0.4,1000,700,6,46,15,20,31,15,9,1266,5865.094,,0.0005209445953369141,,9134.905999999999
198,19:44:00,1,1000,700,8,24,9,11,19,5,1,686,3464.248,,0.00010633468627929688,,1535.752
187,16:47:00,0.2,1000,700,7,45,20,28,34,11,13,2284,13593.772,,0.0005230903625488281,,-2593.772000000001
55,15:58:00,1,1000,700,23,71,25,35,55,16,2,3922,15309.040000000003,,0.0004711151123046875,,690.9599999999973
191,13:41:30,0.4,1000,700,7,22,9,12,13,9,2,1342,5520.9046841287045,,0.00011372566223144531,,3479.0953158712955
187,13:47:00,0,1000,700,2,40,14,29,32,8,12,0,14693.301000000001,,0.0005257129669189453,,-6693.301000000001
199,16:04:00,0.2,1000,700,5,45,12,27,39,6,7,2370,12749.301,,0.00036787986755371094,,-6749.3009999999995
185,07:21:00,0.2,1000,700,6,90,21,48,79,11,15,3157,13556.067,,0.0010690689086914062,,-2556.066999999999
191,07:22:00,0.4,1000,700,6,31,12,16,24,7,6,1194,5080.948734896091,,0.0001609325408935547,,1919.051265103909
194,15:17:30,0.2,1000,700,5,48,16,17,40,8,11,1652,9717.309000000001,,0.0006349086761474609,,-1717.309000000001
198,19:44:00,0.4,1000,700,4,23,7,10,15,8,3,663.8587598425074,3567.585,,0.0001049041748046875,,4432.415
187,13:47:00,1,1000,700,30,41,30,29,33,8,0,3289,12328.012,,0.0002789497375488281,,-4328.012000000001
55,18:56:00,1,1000,700,28,59,29,36,42,17,1,5020,19146.540000000005,,0.0003867149353027344,,-2146.5400000000045
192,08:28:00,0.4,1000,700,6,34,12,20,26,8,6,1456.999865783826,7757.396,,0.0002810955047607422,,242.60400000000027
187,16:47:00,0.4,1000,700,13,46,21,28,37,9,8,2530.9743199713703,12810.933,,0.0005340576171875,,-3810.933000000001
191,13:41:30,0,1000,700,2,23,3,17,22,1,1,0.0,6261.195684128704,,8.511543273925781e-05,,-5261.195684128704
198,10:24:30,0.4,1000,700,4,17,5,14,16,1,1,290,2855.712,,7.605552673339844e-05,,-1855.712
