route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
187,13:47:00,0,1000,700,2,40,10,33,32,8,8,0.0,14816.078000000003,,6.103515625e-05,,-6816.078000000003
199,16:04:00,0.2,1000,700,5,45,10,29,38,7,5,2370,12699.884,,5.3882598876953125e-05,,-5699.884
185,07:21:00,0.2,1000,700,6,90,19,50,61,29,13,3179.3518253400143,14839.329999999998,,9.512901306152344e-05,,14160.670000000002
191,07:22:00,0.4,1000,700,6,31,11,17,16,15,5,1194,5080.948734896091,,3.409385681152344e-05,,9919.05126510391
194,15:17:30,0.2,1000,700,5,48,15,18,29,19,10,1652,9973.204,,9.083747863769531e-05,,9026.796
198,19:44:00,0.4,1000,700,4,23,5,12,16,7,1,663.8587598425074,3501.9590000000003,,2.5987625122070312e-05,,3498.0409999999997
187,13:47:00,1,1000,700,30,41,30,29,33,8,0,3289,12328.012,,5.3882598876953125e-05,,-4328.012000000001
55,18:56:00,1,1000,700,28,59,29,36,42,17,1,5020,19146.540000000005,,6.079673767089844e-05,,-2146.5400000000045
192,08:28:00,0.4,1000,700,6,34,12,20,21,13,6,1432,7625.887999999999,,3.886222839355469e-05,,5374.112000000001
187,16:47:00,0.4,1000,700,13,46,17,32,39,7,4,2529.9260916249186,12857.951,,5.316734313964844e-05,,-5857.950999999999
191,13:41:30,0,1000,700,2,23,3,17,21,2,1,0.0,6261.195684128704,,2.6226043701171875e-05,,-4261.195684128704
198,10:24:30,0.4,1000,700,4,17,6,13,15,2,2,290,2855.712,,2.5987625122070312e-05,,-855.712
195,13:21:00,0.4,1000,700,10,41,18,24,25,16,8,2140.0980225483145,9523.243999999999,,4.887580871582031e-05,,6476.756000000001
194,07:10:00,0.4,1000,700,10,51,14,28,41,10,4,2237.6407480314992,9669.296999999999,,5.793571472167969e-05,,330.70300000000134
155,07:44:30,1,1000,700,13,45,12,25,41,4,-1,1770,7060.512,,5.030632019042969e-05,,-3060.5119999999997
192,14:50:30,1,1000,700,15,53,17,29,39,14,2,1817,7896.997,,5.1021575927734375e-05,,6103.003
185,15:27:00,0.2,1000,700,4,26,8,22,22,4,4,2021,7793.717000000001,,3.62396240234375e-05,,-3793.7170000000006
191,13:41:30,1,1000,700,15,23,15,11,16,7,0,1342,5202.024684128705,,2.7894973754882812e-05,,1797.9753158712947
199,13:24:30,0.2,1000,700,5,29,9,18,23,6,4,2873,11886.512,,3.695487976074219e-05,,-5886.512000000001
187,16:47:00,1,1000,700,30,41,30,26,25,16,0,3289,12328.012,,4.792213439941406e-05,,3671.9879999999994
193,13:30:30,0.2,1000,700,4,48,7,33,44,4,3,1502.0429939155292,6903.294999999999,,5.221366882324219e-05,,-2903.294999999999
192,14:50:30,0,1000,700,2,51,6,36,44,7,4,0,9317.588999999998,,5.3882598876953125e-05,,-2317.588999999998
155,07:44:30,0,1000,700,2,42,6,31,38,4,4,0.0,8479.746000000001,,5.817413330078125e-05,,-4479.746000000001
192,14:50:30,0,1000,700,2,53,6,37,49,4,4,0,7991.592999999999,,6.031990051269531e-05,,-3991.592999999999
155,07:44:30,0,1000,700,2,45,6,30,41,4,4,0,8014.723,,5.0067901611328125e-05,,-4014.723
193,13:30:30,0.2,1000,700,4,46,8,29,38,8,4,1494,6466.701000000001,,4.887580871582031e-05,,1533.298999999999
199,13:24:30,0.2,1000,700,5,32,13,17,21,11,8,2873,12455.167,,4.410743713378906e-05,,-1455.1669999999995
191,13:41:30,1,1000,700,15,23,14,12,18,5,-1,1342,5202.024684128705,,2.7894973754882812e-05,,-202.0246841287053
155,07:44:30,1,1000,700,13,42,12,28,34,8,-1,1770,7060.512,,4.291534423828125e-05,,939.4880000000003
192,14:50:30,1,1000,700,15,51,16,28,34,17,1,1817,7896.997,,4.887580871582031e-05,,9103.003
194,07:10:00,0.4,1000,700,10,51,13,23,35,16,3,2236,8484.68,,4.601478576660156e-05,,7515.32
187,16:47:00,0,1000,700,2,41,6,41,36,5,4,0,14274.180999999999,,4.7206878662109375e-05,,-9274.180999999999
198,10:24:30,0.4,1000,700,4,18,4,13,13,5,0,290,2855.712,,2.5033950805664062e-05,,2144.288
195,13:21:00,0.4,1000,700,10,41,16,28,31,10,6,2132.0296170365036,9836.982,,5.1021575927734375e-05,,163.01800000000003
193,08:16:30,0.2,1000,700,3,46,5,29,39,7,2,1266,5927.881000000001,,4.410743713378906e-05,,1072.1189999999988
191,13:41:30,0,1000,700,2,23,4,19,21,2,2,0,5710.1326841287055,,2.7894973754882812e-05,,-3710.1326841287055
187,16:47:00,0.4,1000,700,13,45,19,31,32,13,6,2529.9260916249114,12003.229,,5.1975250244140625e-05,,996.7710000000006
155,13:50:00,0.4,1000,700,7,32,12,17,19,13,5,1500,6622.488,,4.029273986816406e-05,,6377.512
187,13:47:00,1,1000,700,30,40,30,25,31,9,0,3289,12328.012,,5.173683166503906e-05,,-3328.0120000000006
194,15:17:30,0.2,1000,700,5,50,8,27,46,4,3,1652,8414.994,,5.698204040527344e-05,,-4414.994000000001
198,19:44:00,0.4,1000,700,4,24,7,14,16,8,3,686,3464.2480000000005,,2.8848648071289062e-05,,4535.7519999999995
199,16:04:00,0.2,1000,700,5,42,11,26,36,6,6,2386.742036506803,13156.195000000002,,6.198883056640625e-05,,-7156.1950000000015
185,07:21:00,0.2,1000,700,6,89,20,47,63,26,14,3189.0377594846104,14757.955000000002,,9.894371032714844e-05,,11242.044999999998
191,07:22:00,0.4,1000,700,6,33,9,23,28,5,3,1194,5343.0267348960915,,4.57763671875e-05,,-343.0267348960915
55,18:56:00,0,1000,700,2,59,12,47,51,8,10,0,21073.967999999997,,9.703636169433594e-05,,-13073.967999999997
191,13:41:30,0.4,1000,700,7,21,10,13,13,8,3,1342,5520.9046841287045,,2.8848648071289062e-05,,2479.0953158712955
187,13:47:00,0,1000,700,2,41,8,41,37,4,6,0,14366.404,,5.91278076171875e-05,,-10366.404
187,13:47:00,0.4,1000,700,13,37,19,27,26,11,6,2397.1135916249114,13234.346,,5.1975250244140625e-05,,-2234.3459999999995
192,08:28:00,0.2,1000,700,3,34,8,24,25,9,5,1421.3273085182518,7665.693,,4.1961669921875e-05,,1334.3069999999998
187,16:47:00,0.2,1000,700,7,46,13,35,38,8,6,2298.9260916249186,12765.446999999998,,5.602836608886719e-05,,-4765.446999999998
55,15:58:00,1,1000,700,23,71,26,34,50,21,3,3924.4107462419415,15415.690000000002,,6.67572021484375e-05,,5584.309999999998
191,07:22:00,0,1000,700,2,34,6,23,26,8,4,0,5978.228734896092,,3.886222839355469e-05,,2021.7712651039083
195,13:21:00,0.2,1000,700,5,41,15,26,27,14,10,2140.0980225483145,10497.654,,5.7220458984375e-05,,3502.3459999999995
198,10:24:30,0.2,1000,700,3,17,5,14,15,2,2,290,2855.712,,2.47955322265625e-05,,-855.712
195,13:21:00,0,1000,700,2,41,6,39,37,4,4,0.0,11115.722,,4.982948303222656e-05,,-7115.722
194,07:10:00,0.2,1000,700,5,51,10,29,39,12,5,2079,9063.017,,5.1975250244140625e-05,,2936.983
198,10:24:30,1,1000,700,8,17,8,12,15,2,0,677,2855.712,,2.3126602172851562e-05,,-855.712
199,13:24:30,1,1000,700,20,29,20,14,22,7,0,2873,11183.928,,3.695487976074219e-05,,-4183.928
